Country,Localite,Category,Value,Date,Sources
Guinea,Dinguiraye ,Deaths,1,06/2014,WHO
Guinea,Gueckedou,Cases,190,06/2014,WHO
Guinea,Gueckedou,Deaths,140,06/2014,WHO
Guinea,Kissidougou,Cases,7,06/2014,WHO
Guinea,Kissidougou,Deaths,5,06/2014,WHO
Guinea,Macenta,Cases,44,06/2014,WHO
Guinea,Macenta,Deaths,24,06/2014,WHO
Guinea,National,Cases,328,06/2014,WHO
Guinea,National,Confirmed cases,208,06/2014,WHO
Guinea,National,Deaths,193,06/2014,WHO
Guinea,Telimele,Cases,22,06/2014,WHO
Guinea,Telimele,Deaths,5,06/2014,WHO
Sierra Leone,Bo,Cases,13,06/2014,WHO
Sierra Leone,Bo,Deaths,0,06/2014,WHO
Sierra Leone,Bombali,Cases,1,06/2014,WHO
Sierra Leone,Bombali,Deaths,0,06/2014,WHO
Sierra Leone,Freetown,Cases,5,06/2014,WHO
Sierra Leone,Freetown,Deaths,0,06/2014,WHO
Sierra Leone,Kailahun,Cases,41,06/2014,WHO
Sierra Leone,Kailahun,Deaths,6,06/2014,WHO
Sierra Leone,Kenema,Cases,3,06/2014,WHO
Sierra Leone,Kenema,Deaths,0,06/2014,WHO
Sierra Leone,Koinadugu,Cases,2,06/2014,WHO
Sierra Leone,Koinadugu,Deaths,0,06/2014,WHO
Sierra Leone,Moyamba,Cases,1,06/2014,WHO
Sierra Leone,Moyamba,Deaths,0,06/2014,WHO
Sierra Leone,National,Cases,79,06/2014,WHO
Sierra Leone,National,Confirmed cases,18,06/2014,WHO
Sierra Leone,National,Deaths,6,06/2014,WHO
Liberia,Bong County,Cases,1,06/2014,UNICEF
Liberia,Lofa County,Cases,8,06/2014,UNICEF
Liberia,Margibi County,Cases,2,06/2014,UNICEF
Liberia,National,Cases,13,06/2014,UNICEF
Liberia,National,Confirmed cases,6,06/2014,UNICEF
Liberia,National,Deaths,10,06/2014,UNICEF
Liberia,Nimba County,Cases,2,06/2014,UNICEF
Guinea,Boffa,Cases,7,06/2014,WHO
Guinea,Boffa,Deaths,4,06/2014,WHO
Guinea,Conakry,Cases,65,06/2014,WHO
Guinea,Conakry,Deaths,27,06/2014,WHO
Guinea,Dabola ,Cases,4,06/2014,WHO
Guinea,Dabola ,Deaths,4,06/2014,WHO
Guinea,Dinguiraye ,Cases,1,06/2014,WHO
Guinea,Dinguiraye ,Deaths,1,06/2014,WHO
Guinea,Gueckedou,Cases,193,06/2014,WHO
Guinea,Gueckedou,Deaths,143,06/2014,WHO
Guinea,Kissidougou,Cases,7,06/2014,WHO
Guinea,Kissidougou,Deaths,5,06/2014,WHO
Guinea,Macenta,Cases,44,06/2014,WHO
Guinea,Macenta,Deaths,26,06/2014,WHO
Guinea,National,Cases,344,06/2014,WHO
Guinea,National,Confirmed cases,207,06/2014,WHO
Guinea,National,Deaths,215,06/2014,WHO
Guinea,Telimele,Cases,23,06/2014,WHO
Guinea,Telimele,Deaths,5,06/2014,WHO
Guinea,Boffa,Cases,7,06/2014,WHO
Guinea,Boffa,Deaths,6,06/2014,WHO
Guinea,Conakry,Cases,67,06/2014,WHO
Guinea,Conakry,Deaths,29,06/2014,WHO
Guinea,Dabola ,Cases,4,06/2014,WHO
Guinea,Dabola ,Deaths,4,06/2014,WHO
Guinea,Dinguiraye ,Cases,1,06/2014,WHO
Guinea,Dinguiraye ,Deaths,1,06/2014,WHO
Guinea,Gueckedou,Cases,194,06/2014,WHO
Guinea,Gueckedou,Deaths,146,06/2014,WHO
Guinea,Kissidougou,Cases,7,06/2014,WHO
Guinea,Kissidougou,Deaths,5,06/2014,WHO
Guinea,Kouroussa,Cases,1,06/2014,WHO
Guinea,Kouroussa,Deaths,1,06/2014,WHO
Guinea,Macenta,Cases,45,06/2014,WHO
Guinea,Macenta,Deaths,27,06/2014,WHO
Guinea,National,Cases,351,06/2014,WHO
Guinea,National,Confirmed cases,210,06/2014,WHO
Guinea,National,Deaths,226,06/2014,WHO
Guinea,Telimele,Cases,25,06/2014,WHO
Guinea,Telimele,Deaths,7,06/2014,WHO
Sierra Leone,National,Cases,81,06/2014,WHO
Sierra Leone,National,Confirmed cases,31,06/2014,WHO
Sierra Leone,National,Deaths,6,06/2014,WHO
